,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33,1.6007386207580567,0.12995067722633633,0.006280326843261718,0.0008744973207983937,0.1,3,10,100,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
34,2.8935739040374755,0.23374384254310063,0.00640106201171875,0.0007763671603217809,0.1,3,10,200,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
35,4.022681140899659,0.7169912246507424,0.007466936111450195,0.0007257426709205531,0.1,3,10,300,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
36,1.690692377090454,0.1330445203515423,0.005872058868408203,0.00072919199538741,0.1,4,2,100,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
37,2.8529165267944334,0.1829608888994955,0.006722116470336914,0.0009587345177192786,0.1,4,2,200,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
38,2.9236262321472166,0.23526088097069411,0.0061814308166503905,0.0012023036576415394,0.1,4,2,300,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
39,1.5948938369750976,0.10463804111176511,0.006351184844970703,0.0010134183383900721,0.1,4,5,100,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
40,2.798623514175415,0.22130878864356837,0.0061261653900146484,0.0006311541706228016,0.1,4,5,200,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
41,3.0832308292388917,0.1950875003511612,0.006881189346313476,0.0007371278695714241,0.1,4,5,300,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
42,1.6854071140289306,0.1883489799454039,0.0057446956634521484,0.0006451450798535031,0.1,4,10,100,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
